Node, x_pos, y_pos, target_x, target_y
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, -5.84032, -20.6479, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -36.7538, 2.01515, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 3.62728, -18.4318, 5, -15
11, 35, 5, 35, 5
12, 2.19341, 17.3227, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, -4.83092, -18.9213, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -36.2687, 0.07487, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 4.37006, -16.5748, 5, -15
11, 35, 5, 35, 5
12, 3.7342, 16.0476, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, -3.82153, -17.1947, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35.7836, -1.86542, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, -2.81214, -15.4681, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35.2986, -3.8057, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, -1.80274, -13.7415, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, -0.79335, -12.0149, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, 0.216043, -10.2883, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, 1.22544, -8.56175, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, 2.23483, -6.83516, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, 3.24422, -5.10857, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, 4.25362, -3.38197, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
5, -25, 15, -25, 15
6, 25, -15, 25, -15
7, -35, -5, -35, -5
8, 35, 15, 35, 15
9, -15, -15, -15, -15
10, 5, -15, 5, -15
11, 35, 5, 35, 5
12, 5, 15, 5, 15
13, -35, -15, -35, -15
14, 35, -15, 35, -15
15, -5, -15, -5, -15
16, -15, 15, -15, 15
17, -25, -15, -25, -15
18, 35, -5, 35, -5
19, -5, 15, -5, 15
0, 5.26301, -1.65538, 15, 15
1, -35, 5, -35, 5
2, 25, 15, 25, 15
3, 15, -15, 15, -15
4, -35, 15, -35, 15
